2024-04-15 10:03:52 INFO  NumberClient:27 - Starting the client...
2024-04-15 10:04:15 INFO  NumberObserver:19 - number from server: 11
2024-04-15 10:04:15 INFO  NumberObserver:21 - currentValue: 89
2024-04-15 10:04:16 INFO  NumberClient:45 - currentValue: 90
2024-04-15 10:04:17 INFO  NumberClient:45 - currentValue: 91
2024-04-15 10:04:17 INFO  NumberObserver:19 - number from server: 12
2024-04-15 10:04:17 INFO  NumberObserver:21 - currentValue: 103
2024-04-15 10:04:18 INFO  NumberClient:45 - currentValue: 104
2024-04-15 10:04:19 INFO  NumberClient:45 - currentValue: 105
2024-04-15 10:04:19 INFO  NumberObserver:19 - number from server: 13
2024-04-15 10:04:19 INFO  NumberObserver:21 - currentValue: 118
2024-04-15 10:04:20 INFO  NumberClient:45 - currentValue: 119
2024-04-15 10:04:21 INFO  NumberClient:45 - currentValue: 120
2024-04-15 10:04:21 INFO  NumberObserver:19 - number from server: 14
2024-04-15 10:04:21 INFO  NumberObserver:21 - currentValue: 134
2024-04-15 10:04:22 INFO  NumberClient:45 - currentValue: 135
2024-04-15 10:04:23 INFO  NumberClient:45 - currentValue: 136
2024-04-15 10:04:23 INFO  NumberObserver:19 - number from server: 15
2024-04-15 10:04:23 INFO  NumberObserver:21 - currentValue: 151
2024-04-15 10:04:24 INFO  NumberClient:45 - currentValue: 152
2024-04-15 10:04:25 INFO  NumberClient:45 - currentValue: 153
2024-04-15 10:04:25 INFO  NumberObserver:19 - number from server: 16
2024-04-15 10:04:25 INFO  NumberObserver:21 - currentValue: 169
2024-04-15 10:04:26 INFO  NumberClient:45 - currentValue: 170
2024-04-15 10:04:27 INFO  NumberClient:45 - currentValue: 171
2024-04-15 10:04:27 INFO  NumberObserver:19 - number from server: 17
2024-04-15 10:04:27 INFO  NumberObserver:21 - currentValue: 188
2024-04-15 10:04:28 INFO  NumberClient:45 - currentValue: 189
2024-04-15 10:04:29 INFO  NumberClient:45 - currentValue: 190
2024-04-15 10:04:29 INFO  NumberObserver:19 - number from server: 18
2024-04-15 10:04:29 INFO  NumberObserver:21 - currentValue: 208
2024-04-15 10:04:30 INFO  NumberClient:45 - currentValue: 209
2024-04-15 10:04:31 INFO  NumberClient:45 - currentValue: 210
2024-04-15 10:04:31 INFO  NumberObserver:19 - number from server: 19
2024-04-15 10:04:31 INFO  NumberObserver:21 - currentValue: 229
2024-04-15 10:04:32 INFO  NumberClient:45 - currentValue: 230
2024-04-15 10:04:33 INFO  NumberClient:45 - currentValue: 231
2024-04-15 10:04:33 INFO  NumberObserver:19 - number from server: 20
2024-04-15 10:04:33 INFO  NumberObserver:21 - currentValue: 251
2024-04-15 10:04:34 INFO  NumberClient:45 - currentValue: 252
2024-04-15 10:04:35 INFO  NumberClient:45 - currentValue: 253
2024-04-15 10:04:35 INFO  NumberObserver:19 - number from server: 21
2024-04-15 10:04:35 INFO  NumberObserver:21 - currentValue: 274
2024-04-15 10:04:36 INFO  NumberClient:45 - currentValue: 275
2024-04-15 10:04:37 INFO  NumberClient:45 - currentValue: 276
2024-04-15 10:04:37 INFO  NumberObserver:19 - number from server: 22
2024-04-15 10:04:37 INFO  NumberObserver:21 - currentValue: 298
2024-04-15 10:04:38 INFO  NumberClient:45 - currentValue: 299
2024-04-15 10:04:39 INFO  NumberClient:45 - currentValue: 300
2024-04-15 10:04:39 INFO  NumberObserver:19 - number from server: 23
2024-04-15 10:04:39 INFO  NumberObserver:21 - currentValue: 323
2024-04-15 10:04:40 INFO  NumberClient:45 - currentValue: 324
2024-04-15 10:04:41 INFO  NumberClient:45 - currentValue: 325
2024-04-15 10:04:41 INFO  NumberObserver:19 - number from server: 24
2024-04-15 10:04:41 INFO  NumberObserver:21 - currentValue: 349
2024-04-15 10:04:42 INFO  NumberClient:45 - currentValue: 350
2024-04-15 10:04:43 INFO  NumberClient:49 - Shutting down the client...
